subfigura,prueba,medida,direccion_mejora,grupo,mes,raton,valor
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema9,65.201
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema10,49.601
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest1,124.6
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest2,38.734
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest3,106.867
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest4,61.867
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest5,57.201
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest6,41.767
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest7,58.634
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest8,71.901
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest9,40.334
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Restriccion calorica,0,Rest10,42.834
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,2,Cont1,23.8666
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,2,Cont2,14.4667
