numero_onda_cm1,irf_w_m2_cm,erf_w_m2_cm
810.4828028199104,-0.0035027422869422283,-0.0036798670020531327
816.8111209448532,-0.002120904913882233,-0.0021074163050580864
823.1394390697958,-0.0009364142458488291,-0.0009327179108839911
829.4677571947386,-0.0007623446347372878,-0.0007522888300711696
835.7960753196814,-0.00026364902046885005,-0.00025605338226130595
842.1243934446242,-0.0001746387157636215,-0.00017360302518458406
848.4527115695671,-0.00014520271990211588,-0.00014387069092524534
854.7810296945097,-9.389749900906097e-05,-9.338100406504693e-05
861.1093478194525,-0.0001426942746515815,-0.00014097404368968846
867.4376659443953,-0.00012743221115789696,-0.00012575395563684108
873.7659840693381,-7.307228980942557e-05,-7.286325152980203e-05
880.094302194281,-7.881320641685893e-05,-7.771837149212748e-05
886.4226203192236,-9.402375923232538e-05,-9.387829312647832e-05
892.7509384441664,-0.00015459661558854618,-0.000154249379337874
899.0792565691092,-0.00023052261115064868,-0.00022998026799825235
905.407574694052,-0.0003389407997979187,-0.0003294238840020904
911.7358928189948,-0.0003779073300439087,-0.000375909819645851
918.0642109439375,-0.0005535494031065702,-0.0005526739950892923
924.3925290688803,-0.0009487417523350206,-0.0009317389913111435
930.7208471938231,-0.0015401941022242412,-0.001538032908301294
937.0491653187659,-0.00296970538752527,-0.002945956343943143
943.3774834437087,-0.00442692879584418,-0.004421299984472416
949.7058015686514,-0.004054052503446268,-0.004048997622095485
956.0341196935942,-0.0033822902744965176,-0.0033744233531023114
962.362437818537,-0.0020038297491846266,-0.001988842861406526
968.6907559434798,-0.004724431427299225,-0.004679238377960812
975.0190740684226,-0.004557486417863553,-0.004721640018651132
981.3473921933653,-0.0039033605474346968,-0.003808443184407661
987.6757103183081,-0.0010942386434583504,-0.0009737560644174849
994.004028443251,-0.0001947203442821798,-0.0005736344383167533
1000.3323465681937,-7.277015669162256e-05,-0.000753290674171151
1006.6606646931364,-8.196951002998536e-05,-0.0024733168234310206
1012.9889828180792,-6.589775401579087e-05,-0.004256289198965797
1019.317300943022,-0.00014203808873805915,-0.004371440415463247
1025.6456190679648,-0.0005327350770952164,-0.00522117803278705
1031.9739371929077,-0.0006422346329998658,-0.004591170525376759
1038.3022553178503,-0.0010685970617062492,-0.007878146073906911
1044.6305734427933,-0.0026611930784220554,-0.005369214783846582
1050.958891567736,-0.0019367675978572449,-0.008710067283043958
1057.2872096926785,-0.0019011514103158215,-0.008108294601022534
1063.6155278176216,-0.0014750460117099345,-0.005283341566765539
1069.9438459425642,-0.005071237955729626,-0.005257940602708906
1076.2721640675072,-0.006585713258396442,-0.006961332787737193
1082.6004821924498,-0.005604262759775902,-0.005912800779270355
1088.9288003173924,-0.002515781944655942,-0.002973642248254379
1095.2571184423355,-0.0005884239014000629,-0.0008388856144378345
1101.585436567278,-3.4884355959254504e-05,-9.802677802485964e-05
1107.9137546922211,-9.754520661598095e-07,-2.643935180062114e-05
1114.2420728171637,-3.748328592768913e-07,-2.330324665513711e-05
1120.5703909421063,-2.633878198728514e-07,-5.428307013495528e-05
1126.8987090670494,-2.638661482759312e-07,-2.0747230102221e-05
1133.227027191992,-2.0607744236398164e-07,-3.108151060614064e-05
1139.5553453169348,-2.0285579906446308e-07,-1.2268620842174696e-05
1145.8836634418776,-2.1131368375705563e-07,-9.55193864495469e-06
1152.2119815668202,-1.6619475530041829e-07,-1.530297259422675e-05
1158.5402996917633,-1.9382065767009975e-07,-5.501470887710105e-06
1164.8686178167059,-1.5106348632651802e-07,-1.1757829544982662e-05
1171.1969359416487,-1.497978151770345e-07,-2.8414393160455186e-06
1177.5252540665915,-1.3885268802154085e-07,-2.483105985569203e-06
1183.853572191534,-1.390608672249957e-07,-5.467474902839161e-07
1190.1818903164772,-1.3833925795172718e-07,-3.7256268479337986e-07
1196.5102084414198,-1.5493436097212916e-07,-3.1563021401076733e-07
1202.8385265663626,-3.3382967863117546e-07,-6.632211711720544e-07
1209.1668446913054,-6.408743089739111e-07,-7.178446485564603e-07
1215.495162816248,-2.031892644628706e-06,-1.8732980950145369e-06
1221.823480941191,-6.092523323564259e-06,-6.039986216231087e-06
1228.1517990661337,-1.462405326053013e-05,-1.4621674754771159e-05
1234.4801171910765,-3.8915135546529515e-05,-3.895104121303262e-05
1240.8084353160193,-7.103089191263614e-05,-7.113045962543159e-05
1247.136753440962,-0.0001289299649133541,-0.0001313476778053115
1253.465071565905,-9.940590422968516e-05,-0.00010039463168167657
1259.7933896908476,-2.602173101785897e-05,-2.698033409760912e-05
1266.1217078157904,-7.100920166323002e-05,-7.359943096592598e-05
1272.4500259407332,-6.815106275259082e-05,-6.888599679753925e-05
1278.7783440656758,-7.457162867845183e-05,-7.630904191585946e-05
1285.1066621906189,-2.654218673071624e-05,-2.670537958072578e-05
1291.4349803155615,-9.137179733415717e-06,-9.198704951246116e-06
1297.7632984405043,-2.5971071701417874e-06,-2.628835953806649e-06
1304.091616565447,-8.358268038367736e-07,-1.033172336459276e-06
1310.4199346903897,-1.5898437306310172e-07,-3.088166494897996e-07
1316.7482528153328,-1.716677951327857e-07,-3.266302348941435e-07
1323.0765709402754,-7.150366585400827e-07,-2.0381716943100677e-06
1329.404889065218,-1.5935370322739613e-06,-1.6211651555758047e-06
1335.733207190161,-3.694699303813479e-06,-6.10486030531558e-06
1342.0615253151036,-1.375355978514865e-05,-1.532454794720118e-05
