mjd,year,mag,magerr,filter
59502.26468749996,2021.7872,20.392857229450343,0.31240912806397847,ZTF_r
59504.28680559993,2021.7927,20.13125244380784,0.3953029382233268,ZTF_r
59517.141875000205,2021.8279,20.309737074126545,0.2639953150817871,ZTF_r
59520.24245369993,2021.8364,20.23340027646649,0.2937864744310508,ZTF_r
59522.199004599825,2021.8417,20.286045625935355,0.29296690443766127,ZTF_r
59524.22281249985,2021.8473,20.223632009029828,0.22576268356657386,ZTF_r
59526.13366900012,2021.8525,20.419394054415378,0.41203561636475783,ZTF_r
59529.197731500026,2021.8609,20.369187581499695,0.2979364214703921,ZTF_r
59531.1609259001,2021.8663,20.32841377606273,0.4136187466641115,ZTF_r
59538.24185189977,2021.8857,20.485683350361764,0.5567261986395097,ZTF_r
59542.15718750004,2021.8964,20.33071076045013,0.25399575926293233,ZTF_r
59676.50842589978,2022.2642,20.064604200994953,0.8444834929744849,ZTF_r
59677.4989120001,2022.2669,20.14317168234056,0.6149280572016228,ZTF_r
59677.50141200004,2022.2669,20.121702637684926,0.42125752182559906,ZTF_r
59677.503911999986,2022.2670,20.188385314856127,0.5575057199724085,ZTF_r
59677.50641199993,2022.2670,19.999309349453334,0.2835978611375702,ZTF_r
59677.50892359996,2022.2670,20.546058316133635,0.63190799602136,ZTF_r
59678.497928199824,2022.2697,20.15791130197512,0.3219892863340716,ZTF_r
59678.5004166998,2022.2697,20.449335837404924,0.373813925010375,ZTF_r
59678.50291670021,2022.2697,20.659625054163463,0.6582397911186865,ZTF_r
59678.50542820012,2022.2697,20.300178809303702,0.45655435441321723,ZTF_r
59678.507939800154,2022.2697,20.10141207071928,0.33284177270364246,ZTF_r
59679.49681709986,2022.2724,20.318646642366694,0.4351205300545471,ZTF_r
59679.499328699894,2022.2724,20.56052963680993,0.5788336650439995,ZTF_r
59679.50182869984,2022.2724,20.488696530005836,0.5252230291508442,ZTF_r
59679.50432869978,2022.2724,20.111275552542466,0.3770745548805036,ZTF_r
59679.50682870019,2022.2724,20.325844293656267,0.3283396905559218,ZTF_r
