ssp,tipo,metrica,periodo,banda_lat,ensemble_mean,ensemble_std,n_models
ssp585,LHW,cum,fut,Subpolar,614.4501478173164,580.1226952596244,3
ssp585,LHW,cum,fut,Temperada,593.2684229923934,518.3330804568866,3
ssp585,LHW,cum,fut,Tropical,474.98453978110393,367.38261321335415,3
ssp585,LHW,cum,hist,Polar,26.353037839397484,1.4057635894563245,3
ssp585,LHW,cum,hist,Subpolar,25.014400015692203,1.124801386556305,3
ssp585,LHW,cum,hist,Temperada,21.056617891577325,1.6921271546427876,3
ssp585,LHW,cum,hist,Tropical,15.649366904182452,0.49447888990150063,3
ssp585,LHW,dur,fut,Polar,75.14506770822689,35.197359949428346,3
ssp585,LHW,dur,fut,Subpolar,95.36411559661758,58.12690000123523,3
ssp585,LHW,dur,fut,Temperada,119.3312888192803,66.97966881496755,3
ssp585,LHW,dur,fut,Tropical,131.35168170427528,58.30844654831219,3
ssp585,LHW,dur,hist,Polar,7.0858051272879905,0.25044117819843453,3
ssp585,LHW,dur,hist,Subpolar,7.82321428337839,0.05551714464910901,3
ssp585,LHW,dur,hist,Temperada,8.534109626354018,0.09691195280991635,3
ssp585,LHW,dur,hist,Tropical,9.083953942150076,0.14470614294938172,3
ssp585,LHW,int,fut,Polar,6.391841865159538,2.7905868803044775,3
ssp585,LHW,int,fut,Subpolar,5.299633160532885,2.0547291943661268,3
ssp585,LHW,int,fut,Temperada,3.556874138796808,0.6362466047065776,3
ssp585,LHW,int,fut,Tropical,2.0510556165281986,0.24102978383495305,3
ssp585,LHW,int,hist,Polar,1.916521192205355,0.07102956326581214,3
ssp585,LHW,int,hist,Subpolar,2.057140813039435,0.08862629554244589,3
ssp585,LHW,int,hist,Temperada,1.9632710048911453,0.1290436753582927,3
ssp585,LHW,int,hist,Tropical,1.4251813161447275,0.031966214314447225,3
ssp585,LHW,tot,fut,Polar,100.31612952473847,15.530923535400571,3
ssp585,LHW,tot,fut,Subpolar,160.01612872414333,24.446959092082775,3
ssp585,LHW,tot,fut,Temperada,261.32859580976555,25.92799586314437,3
ssp585,LHW,tot,fut,Tropical,286.44304976414725,0.6202754459050194,3
ssp585,LHW,tot,hist,Polar,10.719685494024224,0.3036174539613173,3
ssp585,LHW,tot,hist,Subpolar,15.610266631863057,0.3980537080280372,3
ssp585,LHW,tot,hist,Temperada,22.757560643573203,0.653122619845891,3
ssp585,LHW,tot,hist,Tropical,28.604501283166176,0.3066784401057799,3
ssp585,PHW,count,fut,Polar,1.554640952217009,0.2885432768821762,3
ssp585,PHW,count,fut,Subpolar,2.141723355739155,0.567260517569468,3
ssp585,PHW,count,fut,Temperada,2.6470793968784476,1.0293220987155776,3
ssp585,PHW,count,fut,Tropical,1.4626422155422476,0.9091224757331281,3
ssp585,PHW,count,hist,Polar,0.7328188711093658,0.007172041476206035,3
ssp585,PHW,count,hist,Subpolar,1.0460885772200659,0.007767639573436483,3
ssp585,PHW,count,hist,Temperada,1.4656767990787636,0.011009473103385707,3
ssp585,PHW,count,hist,Tropical,1.4959798195558438,0.026517829294452372,3
ssp585,PHW,cum,fut,Polar,273.61972544187705,168.5061660010425,3
ssp585,PHW,cum,fut,Subpolar,310.02771229235026,224.42062293593472,3
ssp585,PHW,cum,fut,Temperada,439.2661885654722,269.29603221524854,3
ssp585,PHW,cum,fut,Tropical,517.1848527867617,161.16178623764117,3
ssp585,PHW,cum,hist,Polar,19.384149898581533,0.9285339339707384,3
ssp585,PHW,cum,hist,Subpolar,21.70840883785822,1.0849286737079402,3
ssp585,PHW,cum,hist,Temperada,25.7883864348734,1.8296324359922544,3
ssp585,PHW,cum,hist,Tropical,19.84230763412471,1.2009693786578652,3
ssp585,PHW,dur,fut,Polar,53.972274230636515,13.082864528922101,3
ssp585,PHW,dur,fut,Subpolar,73.17476979145606,29.143427892933524,3
ssp585,PHW,dur,fut,Temperada,117.14662132285775,35.341521373407815,3
ssp585,PHW,dur,fut,Tropical,167.64602288742626,7.436582021553607,3
ssp585,PHW,dur,hist,Polar,7.852881939299881,0.19189779685983607,3
ssp585,PHW,dur,hist,Subpolar,9.797985484342876,0.12375152984258005,3
ssp585,PHW,dur,hist,Temperada,13.823520314801192,0.3224242799468596,3
ssp585,PHW,dur,hist,Tropical,16.701674265470118,0.2462771751921848,3
ssp585,PHW,int,fut,Polar,3.875719560844729,1.2523949747498069,3
ssp585,PHW,int,fut,Subpolar,3.39119007107819,1.0067188578316373,3
ssp585,PHW,int,fut,Temperada,2.5236580479570465,0.37287419410572653,3
ssp585,PHW,int,fut,Tropical,1.1137617854553568,0.3209211989281658,3
ssp585,PHW,int,hist,Polar,1.221057577890873,0.0368495595937445,3
ssp585,PHW,int,hist,Subpolar,1.2984833652734005,0.05942963897959757,3
ssp585,PHW,int,hist,Temperada,1.3352544853453436,0.05874408266781676,3
ssp585,PHW,int,hist,Tropical,0.8002496401764093,0.01564431730992281,3
ssp585,PHW,tot,fut,Polar,73.20901623047237,6.460438970133218,3
ssp585,PHW,tot,fut,Subpolar,120.9408392852339,16.06121107325004,3
ssp585,PHW,tot,fut,Temperada,206.40777601315222,11.619216300277158,3
ssp585,PHW,tot,fut,Tropical,242.16759076951973,41.7779712392149,3
ssp585,PHW,tot,hist,Polar,11.2750899784914,0.21023471703280092,3
ssp585,PHW,tot,hist,Subpolar,17.00940097535253,0.3050054776595426,3
ssp585,PHW,tot,hist,Temperada,26.43486491190553,0.4946852801756253,3
ssp585,PHW,tot,hist,Tropical,33.33436405620491,0.2688118638112617,3
ssp585,SHW,count,fut,Polar,1.848057576554382,0.7013980960653865,3
ssp585,SHW,count,fut,Subpolar,2.7603854629070566,1.28698450873089,3
ssp585,SHW,count,fut,Temperada,4.268151379161364,1.9315277219376634,3
ssp585,SHW,count,fut,Tropical,3.946637492255394,2.262760742744635,3
ssp585,SHW,count,hist,Polar,0.8254152170705494,0.005119167107232975,3
ssp585,SHW,count,hist,Subpolar,1.3470631244962992,0.021657472406458742,3
ssp585,SHW,count,hist,Temperada,2.179775140701007,0.02555338545899078,3
ssp585,SHW,count,hist,Tropical,2.637194834308166,0.015278524405760836,3
ssp585,SHW,cum,fut,Polar,552.0120668801493,478.1889849123068,3
ssp585,SHW,cum,fut,Subpolar,614.4951986813211,583.0637839984716,3
ssp585,SHW,cum,fut,Temperada,591.6241152846106,519.1188755245036,3
ssp585,SHW,cum,fut,Tropical,474.1525327720604,367.051455864029,3
ssp585,SHW,cum,hist,Polar,26.407709992558612,1.4414073431161092,3
ssp585,SHW,cum,hist,Subpolar,25.062964605566638,1.1188337684713052,3
ssp585,SHW,cum,hist,Temperada,21.18330578584668,1.6968568626128393,3
ssp585,SHW,cum,hist,Tropical,15.624142591016815,0.4910620649789209,3
ssp585,SHW,dur,fut,Polar,74.4828209722158,35.48587561935909,3
ssp585,SHW,dur,fut,Subpolar,94.4519518337848,58.364867578856405,3
ssp585,SHW,dur,fut,Temperada,118.02335380749162,67.04945582531445,3
ssp585,SHW,dur,fut,Tropical,130.89948033024027,58.14408629492687,3
ssp585,SHW,dur,hist,Polar,7.016007727917579,0.23687389665846834,3
ssp585,SHW,dur,hist,Subpolar,7.773656285316041,0.06491401166866723,3
ssp585,SHW,dur,hist,Temperada,8.478382268634787,0.09035119413140748,3
ssp585,SHW,dur,hist,Tropical,9.03625554262718,0.15287007032705605,3
ssp585,SHW,int,fut,Polar,6.440727291953468,2.8025091901647508,3
ssp585,SHW,int,fut,Subpolar,5.331530608562843,2.059545640016995,3
ssp585,SHW,int,fut,Temperada,3.606061727810531,0.6491758892412954,3
ssp585,SHW,int,fut,Tropical,2.0684865738933547,0.22369718301186547,3
ssp585,SHW,int,hist,Polar,1.9533371142433056,0.0787489067176898,3
